# Constructed from biom file
#OTU ID	SRR29282889_trimmed	SRR29282890_trimmed	SRR29282891_trimmed	SRR29282892_trimmed	SRR29282893_trimmed	SRR29282894_trimmed	SRR29282895_trimmed	SRR29282896_trimmed	SRR29282897_trimmed	SRR29282898_trimmed	SRR29282899_trimmed	SRR29282900_trimmed	SRR29282901_trimmed	SRR29282902_trimmed
6249707b1a173336ab8fb74eeef0f11e	0.0	0.0	0.0	22.0	54.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0
5c63c6843f8c7748eb6aba7a997fce9c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
581c2f5900ed562a9f1971519b83338e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0
00ae30411a10c2c70b612a69ba089042	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9ef710f6a712f5d84bde449331cfa7c6	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
567d6e84585d5447099ff1c51c94d6c9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
d8b7c09bb34383cfc91ae5422ebcd2a8	0.0	0.0	0.0	0.0	0.0	199.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80ff9194f5dca284de83cc32bf561351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
3fce7bbd89dca83c7b75df3c32de14b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
57df9aaab41d54e0625609f99b4d94e1	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
070c1feb38c083715bd6688aa29d4b53	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
04dec0c18b8c9f2a968446ffa59e0cd7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	915.0	0.0	0.0
6dbe2b8fceb5dc706f34b65f538d12d6	181.0	0.0	0.0	0.0	0.0	0.0	957.0	81.0	0.0	0.0	0.0	863.0	511.0	3174.0
6def6cde8ac2fd6c1706c488b41f4c9c	0.0	0.0	0.0	0.0	0.0	873.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f310418e0795d0a75afa3b64eaf099f9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	641.0	0.0	0.0
1ffd9798ed422cab1ebb820ea80e8ec1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1918.0	0.0	0.0
74be44d845e0cc0d44ed84175f849abd	0.0	0.0	0.0	31.0	0.0	18.0	4002.0	0.0	0.0	0.0	0.0	1724.0	250.0	0.0
c3a15be44791566a2a51171812bd64d3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.0
95cd4fbd36fd1cb6fb4ef0b1a882d402	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f49d2092d1c88960a221ab026ec1b84f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0
0e800cbccbf2aa59330528595fb911a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	630.0	0.0	0.0
13c171aa0702534de6bebbaa791b3768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	316.0
3d1e67399cc42f1e2f96f932b00d59c6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1615.0
b9cbc1006929170a860b4786264559ef	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
015fee61efe4abcf9eea4314db0e660d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	692.0	0.0	0.0
2a0bde2b78669623aa9c2e625b9e2fa7	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fa5db395b571766ff475944851dc8795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0
dd99dac0e4cedab02599677d97747a4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0
6dd6ce3b2e50618a07d291ccdcd1488f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0
